date,hour_sin,hour_cos,dayofweek_sin,dayofweek_cos,ssh
2019-01-08 15:00:00+00:00,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,0.60999995
2019-01-08 16:00:00+00:00,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0.87999994
2019-01-08 17:00:00+00:00,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,1.0816667
2019-01-08 18:00:00+00:00,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,1.1183333
2019-01-08 19:00:00+00:00,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,1.01
2019-01-08 20:00:00+00:00,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.86999995
2019-01-08 21:00:00+00:00,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336,0.71333337
2019-01-08 22:00:00+00:00,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,0.57
2019-01-08 23:00:00+00:00,-0.25881904510252157,0.9659258262890681,0.7818314824680298,0.6234898018587336,0.36666667
2019-01-09 00:00:00+00:00,0.0,1.0,0.9749279121818236,-0.22252093395631434,0.22
2019-01-09 01:00:00+00:00,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434,0.15833333
2019-01-09 02:00:00+00:00,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.18
2019-01-09 03:00:00+00:00,0.7071067811865475,0.7071067811865476,0.9749279121818236,-0.22252093395631434,0.31333333
2019-01-09 04:00:00+00:00,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0.5983333
2019-01-09 05:00:00+00:00,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,0.95
2019-01-09 06:00:00+00:00,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,1.3366667
2019-01-09 07:00:00+00:00,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,1.4633335
2019-01-09 08:00:00+00:00,0.8660254037844387,-0.49999999999999983,0.9749279121818236,-0.22252093395631434,1.4233333
2019-01-09 09:00:00+00:00,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434,1.1483333
2019-01-09 10:00:00+00:00,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.82666665
2019-01-09 11:00:00+00:00,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.22252093395631434,0.595
